어선번호,어선명,선적항,위도,경도,지점명,지점번호,기준항
11110016488405,광영호,경남 통영시,34.854254,128.433205,거제도,22104,
14020046482205,제2014뉴광동호,경남 통영시,34.854254,128.433205,거제도,22104,
20090106461303,제616재은호,경남 통영시,34.854254,128.433205,거제도,22104,
11010026267108,해동호,경남 통영시,34.854254,128.433205,거제도,22104,
1060116482205,부일호,경남 통영시,34.854254,128.433205,거제도,22104,
96120246471103,102연창호,경남 통영시,34.854254,128.433205,거제도,22104,
4090016448252,제303남광호,전남 여수시 율촌면,34.84934,127.57213,통영,22188,
96120016261104,제107부흥호,전남 신안군 암태면,34.84543,126.11177,신안,22183,
97030016451307,고려호,전남 신안군 암태면,34.84543,126.11177,신안,22183,
98070276468906,조신2호(2091),전남 신안군 암태면,34.84543,126.11177,신안,22183,
12070026471106,정보호,전남 신안군 암태면,34.84543,126.11177,신안,22183,
9050026461305,제209장덕호,전남 신안군 암태면,34.84543,126.11177,신안,22183,
97080456468904,대양호,전남 신안군 암태면,34.84543,126.11177,신안,22183,
5080056469100,제7신흥호,전남 신안군 암태면,34.84543,126.11177,신안,22183,
96120016261104,,전남 신안군 암태면,34.84543,126.11177,신안,22183,
4040026491105,소망호,전남 신안군 암태면,34.84543,126.11177,신안,22183,
95080016261409,광천호,전남 신안군 암태면,34.84543,126.11177,신안,22183,
9050026461305,제301진흥호,전남 신안군 암태면,34.84543,126.11177,신안,22183,
4030056461306,진남호,전남 보성군 벌교읍,34.84372,127.33979,거문도,22103,
97120016488403,수득2호,경남 남해군 서면,34.83953,127.84189,통영,22188,
3120336488402,평성호,경남 남해군 서면,34.83953,127.84189,통영,22188,
13110056488407,어금호,경남 남해군 서면,34.83953,127.84189,통영,22188,
16090016488400,영신호,경남 남해군 서면,34.83953,127.84189,통영,22188,
9090076482209,안나호,경남 남해군 남해읍,34.838547,127.8936556,통영,22188,
3020046488408,제1경남호,경남 남해군 남해읍,34.838547,127.8936556,통영,22188,
10010026482207,진영호,경남 남해군 남해읍,34.838547,127.8936556,통영,22188,
5070056461306,영광호,경남 남해군 남해읍,34.838547,127.8936556,통영,22188,
98070076488406,민진호,경남 남해군 남해읍,34.838547,127.8936556,통영,22188,
6050036488407,경춘호,경남 남해군 남해읍,34.838547,127.8936556,통영,22188,
11030056488408,영흥호,경남 남해군 남해읍,34.838547,127.8936556,통영,22188,
14100036488409,다성호,경남 남해군 남해읍,34.838547,127.8936556,통영,22188,
14050016461109,제707금양호,전남 신안군,34.8331095,126.3522531,신안,22183,
2080276468905,진명호,전남 신안군,34.8331095,126.3522531,신안,22183,
20080076469106,황금호,전남 신안군,34.8331095,126.3522531,신안,22183,
2080276468905,제209한수호,전남 신안군,34.8331095,126.3522531,신안,22183,
97030046497104,제7정길호,전남 신안군,34.8331095,126.3522531,신안,22183,
97050026491108,해금호,전남 신안군,34.8331095,126.3522531,신안,22183,
2080276468905,영창4호,전남 신안군,34.8331095,126.3522531,신안,22183,
98020036468708,제303금영호,전남 신안군,34.8331095,126.3522531,신안,22183,
7020066461301,영해호,전남 신안군,34.8331095,126.3522531,신안,22183,
6040036468207,505현진호,전남 신안군,34.8331095,126.3522531,신안,22183,
11090046461300,태종호,전남 신안군,34.8331095,126.3522531,신안,22183,
15050056468204,시준호,전남 신안군,34.8331095,126.3522531,신안,22183,
3060036469002,제308대양호,전남 신안군,34.8331095,126.3522531,신안,22183,
6040036468207,제103영광호,전남 신안군,34.8331095,126.3522531,신안,22183,
3080066461101,제2003흥신호,전남 신안군,34.8331095,126.3522531,신안,22183,
14050016461109,천사26호,전남 신안군,34.8331095,126.3522531,신안,22183,
98010086482403,금영호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
8020036488409,금성호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
1050146482204,명진호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
12010056482200,석진호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
16040056482206,성진호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
8040056482203,제502명성호,경남 통영시 사량면,34.83009,128.21199,통영,22188,
